id1	id2	name1	name2	addr1	addr2	country1	country2	postal1	postal2	label
S1_0000	S2_0000	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0001	S2_0001	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0002	S2_0002	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0003	S2_0003	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0004	S2_0004	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0005	S2_0005	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0006	S2_0006	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0007	S2_0007	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0008	S2_0008	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0009	S2_0009	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0010	S2_0010	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0011	S2_0011	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0012	S2_0012	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0013	S2_0013	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0014	S2_0014	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0015	S2_0015	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0016	S2_0016	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0017	S2_0017	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0018	S2_0018	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0019	S2_0019	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0020	S2_0020	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0021	S2_0021	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0022	S2_0022	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0023	S2_0023	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0024	S2_0024	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0025	S2_0025	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0026	S2_0026	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0027	S2_0027	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0028	S2_0028	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0029	S2_0029	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0030	S2_0030	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0031	S2_0031	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0032	S2_0032	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0033	S2_0033	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0034	S2_0034	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0035	S2_0035	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0036	S2_0036	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0037	S2_0037	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0038	S2_0038	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0039	S2_0039	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0040	S2_0040	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0041	S2_0041	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0042	S2_0042	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0043	S2_0043	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0044	S2_0044	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0045	S2_0045	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0046	S2_0046	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0047	S2_0047	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0048	S2_0048	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0049	S2_0049	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0050	S2_0050	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0051	S2_0051	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0052	S2_0052	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0053	S2_0053	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0054	S2_0054	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0055	S2_0055	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0056	S2_0056	Acme Corp	Acme Corporation	123 Main St	123 Main Street	US	US	10001	10001	1
S1_0057	S2_0057	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0058	S2_0058	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0059	S2_0059	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0060	S2_0060	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0061	S2_0061	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0062	S2_0062	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0063	S2_0063	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0064	S2_0064	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0065	S2_0065	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0066	S2_0066	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0067	S2_0067	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0068	S2_0068	Cafe Paris	Cafe de Paris	10 Rue de Rivoli	10 Rue Rivoli	FR	FR	75001	75001	1
S1_0069	S2_0069	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0070	S2_0070	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0071	S2_0071	Global Tech Ltd	Global Technologies Limited	45 Oak Ave	45 Oak Avenue	GB	GB	SW1A 1AA	SW1A 1AA	1
S1_0072	S2_0072	Riverdale Clinic	Riverside Clinic	12 River Rd	88 Lake Rd	US	US	94110	94111	0
S1_0073	S2_0073	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0074	S2_0074	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
S1_0075	S2_0075	Sunrise Bakery	Sunset Bakery	9 Elm St	22 Pine Rd	US	US	60614	60615	0
S1_0076	S2_0076	Nordic Fisheries AB	Nordic Fisheries	Hamngatan 12	Hamngatan 12	SE	SE	11147	11147	1
S1_0077	S2_0077	Berlin Motors GmbH	Berlin Motors	Alexanderplatz 1	Alexanderplatz 1	DE	DE	10178	10178	1
S1_0078	S2_0078	Tokyo Imports	Osaka Exports	1-2 Shibuya	3-4 Namba	JP	JP	150-0002	556-0011	0
S1_0079	S2_0079	Delta Airlines	Delta Air Lines Inc	PO Box 20706	Hartsfield Airport	US	US	30320	30320	1
S1_0080	S2_0080	Maple Leaf Foods	Maple Leaf Food Co	500 King St W	500 King Street West	CA	CA	M5V 1L9	M5V 1L9	1
